Collection Name,Collection Type,Count,Avg Doc Size (Bytes)
RESOLVED_TO,Edge,2202,46.05
ClockDomain,Vertex,6,115.17
CONSOLIDATES,Edge,5793,24.0
HAS_FUNCTION,Edge,15,24.0
HAS_SIGNAL,Edge,1441,22.0
USES_PARAMETER,Edge,438,26.0
DRIVES,Edge,1278,48.45
HAS_FSM,Edge,4,19.0
OR1200_Golden_Relations,Edge,0,0
DEPENDS_ON,Edge,106,126.55
MemoryPort,Vertex,8,121.0
RTL_LogicChunk,Vertex,1513,313.0
SENSITIVE_TO,Edge,362,52.05
CHECKS_SIGNAL,Edge,56,25.0
AUTHORED,Edge,48,2.0
MODIFIED,Edge,353,101.45
RTL_Always,Vertex,373,410.9
Author,Vertex,8,296.62
TRANSITIONS_TO,Edge,9,96.89
USES_OPERATOR,Edge,1706,25.0
FUNCTION_INPUT,Edge,6,26.0
RTL_Assign,Vertex,1278,489.25
OR1200_Relations,Edge,7540,68.0
CachedResponses,Vertex,4,12875.5
CALLS,Edge,0,0
HAS_ASSERTION,Edge,50,25.0
ACCESSES,Edge,16,87.5
HAS_MEMORY,Edge,8,22.0
RTL_Function,Vertex,15,629.67
OR1200_Entities,Vertex,2300,11737.75
HAS_STATE,Edge,23,21.0
STATE_REGISTER,Edge,4,26.0
HAS_ALWAYS,Edge,373,22.0
STORED_IN,Edge,8,21.0
CONTAINS,Edge,1623,20.0
OR1200_Communities,Vertex,157,9568.4
HAS_PARAMETER,Edge,221,25.0
IMPLEMENTED_BY,Edge,7,26.0
RTL_Module,Vertex,104,7492.75
GitCommit,Vertex,48,107.7
MAINTAINS,Edge,159,89.15
REFERENCES,Edge,98,66.0
HAS_OPERATOR,Edge,200,24.0
MEMORY_PORT,Edge,8,23.0
FUNCTION_OUTPUT,Edge,15,27.0
FSM_StateMachine,Vertex,4,226.0
OR1200_Chunks,Vertex,80,16102.55
RTL_Signal,Vertex,1441,160.95
RTL_Parameter,Vertex,221,200.25
OR1200_Documents,Vertex,3,111526.33
BusInterface,Vertex,22,198.75
RTL_Assertion,Vertex,50,362.55
CALLS_FUNCTION,Edge,0,0
RTL_Port,Vertex,1491,154.45
OVERRIDES,Edge,25,109.7
GenerateBlock,Vertex,0,0
OR1200_Golden_Entities,Vertex,0,0
CROSSES_DOMAIN,Edge,0,0
WIRED_TO,Edge,753,77.65
RTL_Memory,Vertex,8,239.5
RESET_BY,Edge,144,65.0
HAS_PORT,Edge,1491,20.0
READS_FROM,Edge,2416,51.7
CLOCKED_BY,Edge,471,68.3
IMPLEMENTS,Edge,22,22.0
HAS_ASSIGN,Edge,1278,22.0
Operator,Vertex,200,109.7
PART_OF_BUS,Edge,187,23.0
FSM_State,Vertex,23,155.15
temp_entity_clusters,Vertex,0,0
TOTAL,Vertex Total,9357,
TOTAL,Edge Total,30957,
